subject_id,frame_paths,n_frames,metadata,ra,dec
5566284,"['data/backyard_worlds/subjects_groundtruth/subject_5566284/frame_00.jpg', 'data/backyard_worlds/subjects_groundtruth/subject_5566284/frame_01.jpg', 'data/backyard_worlds/subjects_groundtruth/subject_5566284/frame_02.jpg', 'data/backyard_worlds/subjects_groundtruth/subject_5566284/frame_03.jpg']",4,"{'id': '541673', 'image0': 'unwise-1659p545.x5.y1.e0.jpeg', 'image1': 'unwise-1659p545.x5.y1.e1.jpeg', 'image2': 'unwise-1659p545.x5.y1.e2.jpeg', 'image3': 'unwise-1659p545.x5.y1.e3.jpeg', '!SIMBAD': 'http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=165.46071+54.029709&Radius=498&Radius.unit=arcsec', '!VizieR': 'http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=&-out.add=_r&-out.add=_RAJ%2C_DEJ&-sort=_r&-to=&-out.max=20&-meta.ucd=2&-meta.foot=1&-c.rs=498&-c=165.46071+54.029709', 'Tile Number': '8463', 'subtile center': 'R.A.= 165.46071 dec= 54.029709', '!IRSA Finder Chart': 'http://irsa.ipac.caltech.edu/applications/finderchart/#&id=Hydra_finderchart_finder_chart&projectId=finderchart&UserTargetWorldPt=165.46071;54.029709;EQ_J2000&subsize=0.195556&sources=DSS,SDSS,2MASS,IRIS,WISE&DoSearch=true', 'id numbers of nearest subtiles': '541672, 541681, 541674, 541665, 541680, 541664, 541666, 541682, 539743, 539735', 'Modified Julian Dates of Each Epoch': '55322.9, 55513.8, 56786.4, 56977.2'}",,
27855980,"['data/backyard_worlds/subjects_groundtruth/subject_27855980/frame_00.jpg', 'data/backyard_worlds/subjects_groundtruth/subject_27855980/frame_01.jpg', 'data/backyard_worlds/subjects_groundtruth/subject_27855980/frame_02.jpg', 'data/backyard_worlds/subjects_groundtruth/subject_27855980/frame_03.jpg']",4,"{'id': ' 863572', 'SIMBAD': 'http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=265.32777+25.842587&Radius=498&Radius.unit=arcsec', 'VizieR': 'http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=&-out.add=_r&-out.add=_RAJ%2C_DEJ&-sort=_r&-to=&-out.max=20&-meta.ucd=2&-meta.foot=1&-c.rs=498&-c=265.32777+25.842587', 'image0': 'runwise-2650p257.x2.y4.e0.jpeg', 'image1': 'runwise-2650p257.x2.y4.e1.jpeg', 'image2': 'runwise-2650p257.x2.y4.e2.jpeg', 'image3': 'runwise-2650p257.x2.y4.e3.jpeg', 'WISEVIEW': 'http://byw.tools/wiseview#ra=265.32777&dec=25.842587&size=704&band=2&speed=125&trimbright=75&linear=1&color=gray&mode=fixed&coadd_mode=window-1.0-year&zoom=2&border=0', 'Tile Number': ' 13493', 'Legacy Surveys': 'http://legacysurvey.org/viewer?ra=265.32777&dec=25.842587&zoom=13&layer=unwise-neo4', 'Subtile Center': 'R.A.= 265.32777 dec= 25.842587', 'IRSA Finder Chart': 'https://irsa.ipac.caltech.edu/applications/finderchart/servlet/api?mode=getResult&subsetsize=11.7333&locstr=265.32777+25.842587&survey=DSS%2CSDSS%2C2MASS%2CSEIP%2CWISE', '!Pre-Reboot Talk Page': 'This subtile was not uploaded before the reboot.', 'id Numbers of Nearest Subtiles': '863564, 863573, 863580, 863571, 863565, 863563, 863581, 863579, 863556, 863574', '!Pre-Reboot Talk Pages of Nearest Subtiles': 'Not Uploaded, Not Uploaded, Not Uploaded, Not Uploaded, Not Uploaded, Not Uploaded, Not Uploaded, Not Uploaded, Not Uploaded, Not Uploaded'}",,
4658409,"['data/backyard_worlds/subjects_groundtruth/subject_4658409/frame_00.jpg', 'data/backyard_worlds/subjects_groundtruth/subject_4658409/frame_01.jpg', 'data/backyard_worlds/subjects_groundtruth/subject_4658409/frame_02.jpg', 'data/backyard_worlds/subjects_groundtruth/subject_4658409/frame_03.jpg']",4,"{'RA': '332.19017', 'id': '1083707', 'dec': '27.1618', 'image0': 'btest.4cross.unwise-3329p272.x7.y3.e0.jpeg', 'image1': 'btest.4cross.unwise-3329p272.x7.y3.e1.jpeg', 'image2': 'btest.4cross.unwise-3329p272.x7.y3.e2.jpeg', 'image3': 'btest.4cross.unwise-3329p272.x7.y3.e3.jpeg', '!SIMBAD': 'http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=332.19017+27.1618&Radius=498&Radius.unit=arcsec', '!VizieR': 'http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=&-out.add=_r&-out.add=_RAJ%2C_DEJ&-sort=_r&-to=&-out.max=20&-meta.ucd=2&-meta.foot=1&-c.rs=498&-c=332.19017+27.1618', 'Tile Number': '16932', '!IRSA Finder Chart': 'http://irsa.ipac.caltech.edu/applications/finderchart/#&id=Hydra_finderchart_finder_chart&projectId=finderchart&UserTargetWorldPt=332.19017;27.1618;EQ_J2000&subsize=0.195556&sources=DSS,SDSS,2MASS,IRIS,WISE&DoSearch=true', 'id numbers of nearest subtiles': '1078467,1083699,1083708,1083706,1078468,1078466,1083700,1083698,1078475,1078476', 'Modified Julian Dates of Each Epoch': '55354.4,55533.6,56817.9,56998.3'}",,
5179360,"['data/backyard_worlds/subjects_groundtruth/subject_5179360/frame_00.jpg', 'data/backyard_worlds/subjects_groundtruth/subject_5179360/frame_01.jpg', 'data/backyard_worlds/subjects_groundtruth/subject_5179360/frame_02.jpg', 'data/backyard_worlds/subjects_groundtruth/subject_5179360/frame_03.jpg']",4,"{'RA': '133.74481', 'id': '438901', 'dec': '-7.2792706', 'image0': 'gtest4.unwise-1342m076.x6.y5.e0.jpeg', 'image1': 'gtest4.unwise-1342m076.x6.y5.e1.jpeg', 'image2': 'gtest4.unwise-1342m076.x6.y5.e2.jpeg', 'image3': 'gtest4.unwise-1342m076.x6.y5.e3.jpeg', '!SIMBAD': 'http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=133.74481+-7.2792706&Radius=498&Radius.unit=arcsec', '!VizieR': 'http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=&-out.add=_r&-out.add=_RAJ%2C_DEJ&-sort=_r&-to=&-out.max=20&-meta.ucd=2&-meta.foot=1&-c.rs=498&-c=133.74481+-7.2792706', 'Tile Number': '6857', '!IRSA Finder Chart': 'http://irsa.ipac.caltech.edu/applications/finderchart/#&id=Hydra_finderchart_finder_chart&projectId=finderchart&UserTargetWorldPt=133.74481;-7.2792706;EQ_J2000&subsize=0.195556&sources=DSS,SDSS,2MASS,IRIS,WISE&DoSearch=true', 'id numbers of nearest subtiles': '438909,438893,438902,438900,438910,438892,438894,438908,433925,438885', 'Modified Julian Dates of Each Epoch': '55320.9,55511.9,56784.3,56975.3'}",,
