subject_id,frame_paths,n_frames,metadata,ra,dec
3855035,"['data/backyard_worlds/subjects_examined/subject_3855035/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855035/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855035/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855035/frame_03.png']",4,"{'id': '11', 'image0': 'unwise-1342m076.1.2.0.png', 'image1': 'unwise-1342m076.1.2.1.png', 'image2': 'unwise-1342m076.1.2.2.png', 'image3': 'unwise-1342m076.1.2.3.png'}",,
3855036,"['data/backyard_worlds/subjects_examined/subject_3855036/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855036/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855036/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855036/frame_03.png']",4,"{'id': '12', 'image0': 'unwise-1342m076.1.3.0.png', 'image1': 'unwise-1342m076.1.3.1.png', 'image2': 'unwise-1342m076.1.3.2.png', 'image3': 'unwise-1342m076.1.3.3.png'}",,
3855037,"['data/backyard_worlds/subjects_examined/subject_3855037/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855037/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855037/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855037/frame_03.png']",4,"{'id': '13', 'image0': 'unwise-1342m076.1.4.0.png', 'image1': 'unwise-1342m076.1.4.1.png', 'image2': 'unwise-1342m076.1.4.2.png', 'image3': 'unwise-1342m076.1.4.3.png'}",,
3855038,"['data/backyard_worlds/subjects_examined/subject_3855038/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855038/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855038/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855038/frame_03.png']",4,"{'id': '14', 'image0': 'unwise-1342m076.1.5.0.png', 'image1': 'unwise-1342m076.1.5.1.png', 'image2': 'unwise-1342m076.1.5.2.png', 'image3': 'unwise-1342m076.1.5.3.png'}",,
3855039,"['data/backyard_worlds/subjects_examined/subject_3855039/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855039/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855039/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855039/frame_03.png']",4,"{'id': '15', 'image0': 'unwise-1342m076.1.6.0.png', 'image1': 'unwise-1342m076.1.6.1.png', 'image2': 'unwise-1342m076.1.6.2.png', 'image3': 'unwise-1342m076.1.6.3.png'}",,
3855040,"['data/backyard_worlds/subjects_examined/subject_3855040/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855040/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855040/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855040/frame_03.png']",4,"{'id': '16', 'image0': 'unwise-1342m076.1.7.0.png', 'image1': 'unwise-1342m076.1.7.1.png', 'image2': 'unwise-1342m076.1.7.2.png', 'image3': 'unwise-1342m076.1.7.3.png'}",,
3855041,"['data/backyard_worlds/subjects_examined/subject_3855041/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855041/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855041/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855041/frame_03.png']",4,"{'id': '17', 'image0': 'unwise-1342m076.2.0.0.png', 'image1': 'unwise-1342m076.2.0.1.png', 'image2': 'unwise-1342m076.2.0.2.png', 'image3': 'unwise-1342m076.2.0.3.png'}",,
3855042,"['data/backyard_worlds/subjects_examined/subject_3855042/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855042/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855042/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855042/frame_03.png']",4,"{'id': '18', 'image0': 'unwise-1342m076.2.1.0.png', 'image1': 'unwise-1342m076.2.1.1.png', 'image2': 'unwise-1342m076.2.1.2.png', 'image3': 'unwise-1342m076.2.1.3.png'}",,
3855043,"['data/backyard_worlds/subjects_examined/subject_3855043/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855043/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855043/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855043/frame_03.png']",4,"{'id': '19', 'image0': 'unwise-1342m076.2.2.0.png', 'image1': 'unwise-1342m076.2.2.1.png', 'image2': 'unwise-1342m076.2.2.2.png', 'image3': 'unwise-1342m076.2.2.3.png'}",,
3855044,"['data/backyard_worlds/subjects_examined/subject_3855044/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855044/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855044/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855044/frame_03.png']",4,"{'id': '20', 'image0': 'unwise-1342m076.2.3.0.png', 'image1': 'unwise-1342m076.2.3.1.png', 'image2': 'unwise-1342m076.2.3.2.png', 'image3': 'unwise-1342m076.2.3.3.png'}",,
